amount,year,area,duration,title,subject,population,strategy,transaction,funder,funder_addr,recipient,recipient_addr,description,source
"TOTAL AMOUNT:  $7,450",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: American Indians,SUPPORT STRATEGY: Not Specified,TRANSACTION TYPE: Cash grants,CHINOOK FUND,"Denver, CO United States",Tribal College Journal,"Mancos, CO United States",Social change,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $7,367",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Web-based media; Journalism, news and information; Advocacy journalism",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Not Specified,TRANSACTION TYPE: Cash grants,PayPal Giving Fund,"Washington, DC United States",Planetwork Ngo Inc,"San Francisco, CA United States",Not Specified,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $7,365",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Not Specified,TRANSACTION TYPE: Cash grants,Fidelity Investments Charitable Gift Fund,"Boston, MA United States",American Society of Journalists and Authors Charitable Trust,"New York City, NY United States",For grant recipient's exempt purposes,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $7,325",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Web-based media; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Not Specified,TRANSACTION TYPE: Cash grants,Fidelity Investments Charitable Gift Fund,"Boston, MA United States",CONNECTICUT NEWS PROJECT INC,"Hartford, CT United States",For grant recipient's exempt purposes,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $7,295",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Web-based media; Journalism, news and information; Citizen journalism",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,Mightycause Charitable Foundation,"Marianna, FL United States",Uptake Institute,"St Paul, MN United States",Unrestricted,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $7,250",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: American Indians,SUPPORT STRATEGY: Recordings and broadcasts; Public engagement and education; Program support; Online media,TRANSACTION TYPE: Cash grants,Chamiza Foundation,"Santa Fe, NM United States",Pueblo of Santa Ana,"Bernalillo, NM United States",Say h2o program,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $7,250",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Web-based media; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Not Specified,TRANSACTION TYPE: Cash grants,National Philanthropic Trust,"Jenkintown, PA United States",TEXAS TRIBUNE INC,"Austin, TX United States",Education,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $7,250",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Adults,SUPPORT STRATEGY: Program support,TRANSACTION TYPE: Cash grants,The Foundation for Agricultural Integrit,"Hudson, NY United States",Orion Society,"Northampton, MA United States",Funding for wendell berry project,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $7,158",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Not Specified,TRANSACTION TYPE: Cash grants,PayPal Giving Fund,"Washington, DC United States",Insider Media Group Inc,"Louisville, KY United States",Not Specified,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $7,125",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Program support,TRANSACTION TYPE: Cash grants,Tapestry Foundation of Mary Carmel and Thomas P Borders,"Austin, TX United States",TEXAS TRIBUNE INC,"Austin, TX United States","Promote civic engagement through original, explanatory journalism and public events.",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $7,121",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Television; Radio; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Adults; Children and youth; Families,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,The Rosewood Foundation,"Dallas, TX United States",NORTH TEXAS PUBLIC BROADCASTING INC,"Dallas, TX United States",GENERAL USE,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $7,016",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Radio; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,"Network for Good, Inc.","Washington, DC United States",Colorado Public Radio,"Centennial, CO United States",Unrestricted,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $7,001",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Academics,SUPPORT STRATEGY: Program support,TRANSACTION TYPE: Cash grants,H and H Charitable Trust,"New York City, NY United States",Curators of the University of Missouri,"Columbia, MO United States",School newspaper support,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $7,000",FISCAL YEAR: 2019,PROGRAM AREA: Health & Human Services,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Radio; Audio; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: People with disabilities,SUPPORT STRATEGY: Not Specified,TRANSACTION TYPE: Cash grants,Ameren Corporation Contributions Program,"St Louis, MO United States",MindsEye Radio,"Belleville, IL United States",Soiree Fundraiser,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $7,000",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Artists and performers,SUPPORT STRATEGY: Presentations and productions; Equal access; General support,TRANSACTION TYPE: Cash grants,California Institute of Contemporary Art,"San Diego, CA United States",Center for Art and Thought,"Los Angeles, CA United States",2016 Legacy grant,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $7,000",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Advocacy journalism",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Not Specified,TRANSACTION TYPE: Cash grants,Fidelity Investments Charitable Gift Fund,"Boston, MA United States",Human Outreach Project,"Midvale, UT United States",For grant recipient's exempt purposes,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $7,000",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Print; Media access and policy; Media justice; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Economically disadvantaged people; Homeless people; Veterans; Unemployed people; Self-employed people,SUPPORT STRATEGY: Not Specified,TRANSACTION TYPE: Cash grants,Ocf Joseph E Weston Public Foundation,"Portland, OR United States",STREET ROOTS,"Portland, OR United States",Human Services,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $7,000",FISCAL YEAR: 2019,PROGRAM AREA: Health and Wellbeing: Human Services,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Print; Media access and policy; Media justice; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Economically disadvantaged people; Homeless people; Veterans; Unemployed people; Self-employed people,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,Oregon Community Foundation,"Portland, OR United States",STREET ROOTS,"Portland, OR United States",For general support,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $7,000",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,Rochester Area Community Foundation,"Rochester, NY United States",Sports Journalism Institute Inc,"Montclair, NJ United States",General support,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $7,000",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Adults,SUPPORT STRATEGY: General support; Public engagement and education,TRANSACTION TYPE: Cash grants,RSF Social Finance,"San Francisco, CA United States",Inside Climate News,"Brooklyn, NY United States",For insideclimate news general operations,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $7,000",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Television; Radio; Media access and policy; Media democracy; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,RSF Social Finance,"San Francisco, CA United States",Democracy Now Productions Inc,"New York City, NY United States",For general operating support,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $7,000",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Television; Radio; Media access and policy; Media democracy; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Not Specified,TRANSACTION TYPE: Cash grants,Seymour and Sylvia Rothchild Family 2004 Charitable Foundation,"Wilmington, DE United States",Democracy Now Productions Inc,"New York City, NY United States",General & Unrestricted,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $7,000",FISCAL YEAR: 2019,PROGRAM AREA: Youth Development,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Adolescents; Children and youth; Adults,SUPPORT STRATEGY: Not Specified,TRANSACTION TYPE: Cash grants,Silicon Valley Community Foundation,"Mountain View, CA United States",Youth Radio,"Oakland, CA United States",Not Specified,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $7,000",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Academics,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,The Bgr Foundation Inc,"Washington, DC United States","National Press Foundation, Inc.","Washington, DC United States",Operating expenses,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $7,000",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Television; Radio; Journalism, news and information; Advocacy journalism",POPULATION SERVED: Young women; Indigenous peoples; People of African descent; Victims of crime and abuse,SUPPORT STRATEGY: Conference attendance; Equal access; Recordings and broadcasts; Program support; Public engagement and education; Publications,TRANSACTION TYPE: Cash grants,United Women in Faith,"New York City, NY United States",Cepalc,Colombia,Funds will support the training of indigenous and Afro-columbian young women in the knowledge and promotion of their rights and social values to create justice and peace in their community and the acquisition of radio and television journalism skills.,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $7,000",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Advocacy; Outreach,TRANSACTION TYPE: Cash grants,Vegfund Inc,"Washington, DC United States","Center for Biological Diversity, Inc.","Tucson, AZ United States",SUPPORT VEGAN ADVOCACY AND ENCOURAGE VEGAN LIFESTYLES,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $6,962",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Advocacy; Outreach,TRANSACTION TYPE: Cash grants,Vegfund Inc,"Washington, DC United States",Compassion Over Killing Inc,"Washington, DC United States",SUPPORT VEGAN ADVOCACY AND ENCOURAGE VEGAN LIFESTYLES,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $6,919",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Media access and policy; Freedom of Expression/First Amendment; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Adults; Researchers; Activists,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,America's Charities,"Chantilly, VA United States",REPORTERS COMMITTEE FOR FREEDOM OF THE PRESS,"Washington, DC United States",General support,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $6,850",FISCAL YEAR: 2019,PROGRAM AREA: Educational Services,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Children and youth; Ethnic and racial groups; Low-income people; Students,SUPPORT STRATEGY: Not Specified,TRANSACTION TYPE: Cash grants,Silicon Valley Community Foundation,"Mountain View, CA United States",Civic News Company,"New York City, NY United States",Not Specified,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $6,850",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,The Community Foundation for the Greater Capital Region,"Albany, NY United States","WMHT Educational Telecommunications, Inc.","Troy, NY United States",Donor advised-for unrestricted use,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $6,810",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Film/video; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Adolescents; Young adults; Artists and performers,SUPPORT STRATEGY: Not Specified,TRANSACTION TYPE: Cash grants,The Chris Hondros Fund,"New York City, NY United States",The Bronx Documentary Center,"Bronx, NY United States",Not Specified,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $6,800",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Radio; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Program support,TRANSACTION TYPE: Cash grants,Community Foundation of Northern Colorado,"Fort Collins, CO United States",Colorado Public Radio,"Centennial, CO United States",Program support,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $6,760",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Media access and policy; Media access and policy, general; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Adults; Economically disadvantaged people; Immigrants and migrants; Ethnic and racial groups; Children and youth,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,North Valley Community Foundation,"Chico, CA United States","The GroundTruth Project, Inc.","Boston, MA United States",General support,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $6,750",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Journalism education",POPULATION SERVED: Academics; People of African descent,SUPPORT STRATEGY: Scholarships,TRANSACTION TYPE: Cash grants,Sigma Delta Chi Foundation of Washington D C,"Washington, DC United States",The Howard University,"Washington, DC United States",Journalism student scholarship,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $6,705",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Web-based media; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Adults,SUPPORT STRATEGY: Program support; General support,TRANSACTION TYPE: Cash grants,The Jerome and Joyce Cutler Shaw Family Foundation Inc,"San Diego, CA United States",Inside Climate News,"Brooklyn, NY United States",PROGRAM SUPPORT,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $6,700",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Television; Radio; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Adults; Children and youth; Families,SUPPORT STRATEGY: Not Specified,TRANSACTION TYPE: Cash grants,Johnson & Johnson Foundation United States Inc,"New Brunswick, NJ United States",NORTH TEXAS PUBLIC BROADCASTING INC,"Dallas, TX United States",Contributions matching centain charitable contributions of employees of johnson & johnson and its affiliated companies,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $6,675",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Radio; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Adults,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,The Community Foundation-Boulder County,"Boulder, CO United States",COMMUNITY RADIO FOR NORTHERN COLORADO,"Greeley, CO United States",General Operating Support,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $6,650",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Print; Media access and policy; Media justice; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Economically disadvantaged people; Homeless people; Veterans; Unemployed people; Self-employed people,SUPPORT STRATEGY: Program support,TRANSACTION TYPE: Cash grants,Regional Arts & Culture Council,"Portland, OR United States",STREET ROOTS,"Portland, OR United States",Project,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $6,630",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Web-based media; Journalism, news and information; Advocacy journalism",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Not Specified,TRANSACTION TYPE: Cash grants,Schwab Charitable Fund,"Lone Tree, CO United States",The Charlemagne Institute,"Bloomington, MN United States",Education,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $6,513",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Media access and policy; Media justice; Journalism, news and information; Advocacy journalism",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,"Network for Good, Inc.","Washington, DC United States",Institute for Public Affairs,"Chicago, IL United States",Unrestricted,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $6,500",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Conferences and exhibitions,TRANSACTION TYPE: Cash grants,Dow Jones News Fund Inc,"Princeton, NJ United States",The University of Texas at El Paso,"El Paso, TX United States",To fund journalism workshop,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $6,500",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Program support,TRANSACTION TYPE: Cash grants,Ssm Health Care of Wisconsin Inc,"St Louis, MO United States","Dane, County of","Madison, WI United States",Funding for Pulse Point Initiative and educational events,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $6,500",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Advocacy; Outreach,TRANSACTION TYPE: Cash grants,Vegfund Inc,"Washington, DC United States",Compassion Project Inc,"Quincy, FL United States",SUPPORT VEGAN ADVOCACY &ND ENCOURAGE VEGAN LIFESTYLES,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $6,407",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Advocacy journalism",POPULATION SERVED: Adults,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,"Network for Good, Inc.","Washington, DC United States",National Press Club Journalism Institute,"Washington, DC United States",Unrestricted,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $6,386",FISCAL YEAR: 2019,PROGRAM AREA: Arts and Culture: Literary Arts,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Radio; Journalism, news and information; Constituency journalism",POPULATION SERVED: Adults,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,Oregon Community Foundation,"Portland, OR United States",Hawaii Public Radio,"Honolulu, HI United States",For general support,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $6,304",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Radio; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,Gill Foundation,"Denver, CO United States",Colorado Public Radio,"Centennial, CO United States",GENERAL OPERATING SUPPORT,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $6,268",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Advocacy; Outreach,TRANSACTION TYPE: Cash grants,Vegfund Inc,"Washington, DC United States",Animal Advocates of South Central PA,"Lancaster, PA United States",SUPPORT VEGAN ADVOCACY AND ENCOURAGE VEGAN LIFESTYLES,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $6,264",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Academics,SUPPORT STRATEGY: Public engagement and education; Program support,TRANSACTION TYPE: Cash grants,Laura and John Arnold Foundation,"HOUSTON, TX United States",Regents of the University of Minnesota,"Minneapolis, MN United States",To support efforts to improve the quality of health care news and information available to consumers,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $6,250",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Film/video; Journalism, news and information; Advocacy journalism",POPULATION SERVED: Adults,SUPPORT STRATEGY: Program support,TRANSACTION TYPE: Cash grants,American Endowment Foundation,"Hudson, OH United States",International Documentary Association,"Los Angeles, CA United States",Programs,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $6,225",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Investigative journalism",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Advocacy; Ethics and accountability; Systems reform,TRANSACTION TYPE: Cash grants,PayPal Giving Fund,"Washington, DC United States","PRO Publica, Inc.","New York City, NY United States",Not Specified,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $6,206",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Program support,TRANSACTION TYPE: Cash grants,Social & Environmental Entrepreneurs Inc.,"Calabasas, CA United States",Foundation for Open Residential Treasures (fort),"Los Angeles, CA United States",Spin-off of see project,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $6,180",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Investigative journalism",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Public engagement and education; Information and referral,TRANSACTION TYPE: Cash grants,Concerned Citizens for Poison Prevention Inc,"Short Hills, NJ United States",NJ POISON INFORMATION & EDUCATION SYSTEM,"Newark, NJ United States",TO SUPPORT THE NJPOISON INFORMATION HOTLINEAND PUBLIC EDUCATION,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $6,124",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Print; Media access and policy; Media justice; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Economically disadvantaged people; Homeless people; Veterans; Unemployed people; Self-employed people,SUPPORT STRATEGY: Not Specified,TRANSACTION TYPE: Cash grants,Schwab Charitable Fund,"Lone Tree, CO United States",STREET ROOTS,"Portland, OR United States",Human services,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $6,095",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Media access and policy; Media access and policy, general; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Academics,SUPPORT STRATEGY: Research; Program support,TRANSACTION TYPE: Cash grants,American Press Institute Inc,"Arlington, VA United States",The University of Texas at Austin,"Austin, TX United States",To conduct a focus group study about news literacy,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $6,075",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Investigative journalism",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Not Specified,TRANSACTION TYPE: Cash grants,Fidelity Investments Charitable Gift Fund,"Boston, MA United States",Voice of the Faithful,"Newton, MA United States",For grant recipient's exempt purposes,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $6,061",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Ethnic and racial groups,SUPPORT STRATEGY: Advocacy; Outreach,TRANSACTION TYPE: Cash grants,Vegfund Inc,"Washington, DC United States",Black Vegetarian Society of Maryland,"Baltimore, MD United States",SUPPORT VEGAN ADVOCACY AND ENCOURAGE VEGAN LIFESTYLES,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $6,000",FISCAL YEAR: 2019,,GRANT DURATION: 1 year,,"SUBJECT:Telecommunications infrastructure; Internet access; Media access and policy; Media democracy; Freedom of Expression/First Amendment; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Low-income people,"SUPPORT STRATEGY: Policy, advocacy and systems reform; Program support",TRANSACTION TYPE: Cash grants,Amalgamated Charitable Foundation Inc,"Washington, DC United States",Free Press,"Washington, DC United States",This grant will be used to support the Change The Terms Coalition.,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
