amount,year,area,duration,title,subject,population,strategy,transaction,funder,funder_addr,recipient,recipient_addr,description,source
"TOTAL AMOUNT:  $10,000",FISCAL YEAR: 2021,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Not Specified,TRANSACTION TYPE: Cash grants,Vanguard Charitable,"Malvern, PA United States",Magnum Cultural Foundation,"New York City, NY United States",FOR RECIPIENT'S EXEM,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $10,000",FISCAL YEAR: 2021,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Adults,SUPPORT STRATEGY: Advocacy; Outreach,TRANSACTION TYPE: Cash grants,Vegfund Inc,"Washington, DC United States",Humane Action Pittsburgh,"Pittsburgh, PA United States",SUPPORT VEGAN ADVOCACY AND ENCOURAGE VEGAN LIFESTYLES,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $10,000",FISCAL YEAR: 2021,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Not Specified,TRANSACTION TYPE: Cash grants,William M Backer Foundation Inc,"The Plains, VA United States",Piedmont Journalism Foundation,"Warrenton, VA United States",CHARITABLE PURPOSES,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $9,925",FISCAL YEAR: 2021,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Investigative journalism",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Not Specified,TRANSACTION TYPE: Cash grants,Fund for Investigative Journalism Inc,"Washington, DC United States",Midwest Center for Investigative Reporting Inc,"Champaign, IL United States",Investigative journalism,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $9,910",FISCAL YEAR: 2021,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Adults,SUPPORT STRATEGY: Program support,TRANSACTION TYPE: Cash grants,Jewish Community Federation of San Francisco the Peninsula Marin & Sonoma,"San Francisco, CA United States",HONESTREPORTING USA,"New York City, NY United States",PUBLIC/SOCIETY BENEFIT,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $9,883",FISCAL YEAR: 2021,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Adults; Ethnic and racial groups; Economically disadvantaged people; Immigrants and migrants,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,American Online Giving Foundation Inc,"Newark, DE United States",Cityside Journalism Initiative,"Berkeley, CA United States",GENERAL SUPPORT,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $9,750",FISCAL YEAR: 2021,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Investigative journalism",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,Triangle Community Foundation,"Durham, NC United States",Carolina Public Press Inc,"Asheville, NC United States",GENERAL PURPOSE,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $9,700",FISCAL YEAR: 2021,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Investigative journalism",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Ethics and accountability,TRANSACTION TYPE: Cash grants,Vanguard Charitable,"Malvern, PA United States",Center for Public Integrity,"Washington, DC United States",FOR RECIPIENT'S EXEM,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $9,670",FISCAL YEAR: 2021,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Not Specified,TRANSACTION TYPE: Cash grants,Vanguard Charitable,"Malvern, PA United States","WMHT Educational Telecommunications, Inc.","Troy, NY United States",FOR RECIPIENT'S EXEM,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $9,640",FISCAL YEAR: 2021,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Adults; Children and youth,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,Walter Henry Freygang Foundation,"Akron, OH United States","National Public Radio, Inc.","Washington, DC United States",GENERAL SUPPORT,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $9,550",FISCAL YEAR: 2021,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Advocacy journalism",POPULATION SERVED: Not Specified,"SUPPORT STRATEGY: Policy, advocacy and systems reform",TRANSACTION TYPE: Cash grants,Reeves Family Foundation,"Marblehead, MA United States",National Review Institute,"New York City, NY United States",DONATION,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $9,521",FISCAL YEAR: 2021,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Television; Radio; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Adults; Children and youth; Families,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,America's Charities,"Chantilly, VA United States",NORTH TEXAS PUBLIC BROADCASTING INC,"Dallas, TX United States",GENERAL SUPPORT,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $9,500",FISCAL YEAR: 2021,,GRANT DURATION: 1 year,,"SUBJECT:Media applications and tools; Geographic Information Systems; Journalism, news and information; Advocacy journalism",POPULATION SERVED: Activists; Adults,SUPPORT STRATEGY: Online media; Public engagement and education,TRANSACTION TYPE: Cash grants,Foundation for Pennsylvania Watersheds,"Johnstown, PA United States",FRACTRACKER ALLIANCE,"Camp Hill, PA United States",WATER AT RISK,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $9,452",FISCAL YEAR: 2021,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Investigative journalism",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Program support; Public engagement and education,TRANSACTION TYPE: Cash grants,BONNEVILLE ENVIRONMENTAL FOUNDATION,"Portland, OR United States",Mckenzie Watershed Alliance,"Springfield, OR United States",MEDIA/PLANTING/ENGAGEMENT,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $9,404",FISCAL YEAR: 2021,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Web-based media; Journalism, news and information; Citizen journalism",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,Mightycause Charitable Foundation,"Marianna, FL United States",Uptake Institute,"St Paul, MN United States",UNRESTRICTED,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $9,400",FISCAL YEAR: 2021,PROGRAM AREA: Education,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Adolescents; Ethnic and racial groups; Students,SUPPORT STRATEGY: Program support; Equal access,TRANSACTION TYPE: Cash grants,The John Ben Snow Foundation Inc,"Manlius, NY United States",Syracuse Press Club Inc,"Syracuse, NY United States",Syracuse Journalism Lab,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $9,375",FISCAL YEAR: 2021,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Television; Radio; Web-based media; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Ethnic and racial groups; Families; Non-adult children; Parents; Economically disadvantaged people,SUPPORT STRATEGY: Not Specified,TRANSACTION TYPE: Cash grants,Susan & John Turben Foundation,"Beachwood, OH United States",Ideastream,"Cleveland, OH United States",CHARITABLE PURPOSE,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $9,250",FISCAL YEAR: 2021,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Capital and infrastructure; Online media,TRANSACTION TYPE: Cash grants,Saint Paul & Minnesota Foundation,"St Paul, MN United States",Minnesota Public Radio | American Public Media,"St Paul, MN United States",For support of the Digital and On-air Early Risers Podcast.,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $9,124",FISCAL YEAR: 2021,,GRANT DURATION: 1 year,,"SUBJECT:Media access and policy; Media justice; Journalism, news and information; Citizen journalism",POPULATION SERVED: Victims of crime and abuse,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,American Online Giving Foundation Inc,"Newark, DE United States","Witness, Inc.","New York City, NY United States",GENERAL SUPPORT,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $9,030",FISCAL YEAR: 2021,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Television; Radio; Media access and policy; Media democracy; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,"Network for Good, Inc.","Washington, DC United States",Democracy Now Productions Inc,"New York City, NY United States",UNRESTRICTED,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $9,000",FISCAL YEAR: 2021,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Adults,SUPPORT STRATEGY: Not Specified,TRANSACTION TYPE: Cash grants,Fidelity Investments Charitable Gift Fund,"Boston, MA United States",PHILADELPHIA CITIZEN,"Philadelphia, PA United States",For grant recipient's exempt purposes,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $9,000",FISCAL YEAR: 2021,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Immigrants and migrants; Victims and oppressed people,SUPPORT STRATEGY: Equal access; Advocacy; Program support,TRANSACTION TYPE: Cash grants,International Womens Media Foundation,"Washington, DC United States",Amnesty International of the USA Inc,"New York City, NY United States",SUPPORT FOR THREE KENYAN JOURNALISTS,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $9,000",FISCAL YEAR: 2021,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Adults; Children and youth,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,Kaufman Family Foundation 16115009633,"Newport, VT United States","National Public Radio, Inc.","Washington, DC United States",GENERAL SUPPORT,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $9,000",FISCAL YEAR: 2021,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Program support,TRANSACTION TYPE: Cash grants,Lithuanian Center Inc,"Cleveland, OH United States",Lithuanian Research and Studies Center Inc,"Chicago, IL United States",SUPPORT LITHUANIAN NEWSPAPERS,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $9,000",FISCAL YEAR: 2021,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Scholarships,TRANSACTION TYPE: Cash grants,Nakadar Foundation,"Bloomfield Hills, MI United States",Tmo Foundation,"Farmington Hills, MI United States",PROVIDE SCHOLARSHIPS TO JOURNALISM STUDENTS,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $9,000",FISCAL YEAR: 2021,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Web-based media; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,Saint Paul & Minnesota Foundation,"St Paul, MN United States",MinnPost,"Minneapolis, MN United States",For general support.,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $9,000",FISCAL YEAR: 2021,PROGRAM AREA: Voter Education & Registration,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Age groups; Ethnic and racial groups,SUPPORT STRATEGY: Not Specified,TRANSACTION TYPE: Cash grants,Silicon Valley Community Foundation,"Mountain View, CA United States",CalMatters,"Sacramento, CA United States",Not Specified,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $9,000",FISCAL YEAR: 2021,PROGRAM AREA: Higher Education,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Academics,SUPPORT STRATEGY: Program support,TRANSACTION TYPE: Cash grants,WICHITA FOUNDATION,"Wichita, KS United States",Wichita State University Foundation,"Wichita, KS United States",Collaborative Journalism Support Fund,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $9,000",FISCAL YEAR: 2021,PROGRAM AREA: Higher Education,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Academics,SUPPORT STRATEGY: Program support,TRANSACTION TYPE: Cash grants,WICHITA FOUNDATION,"Wichita, KS United States",Wichita State University Foundation,"Wichita, KS United States",Collaborative Journalism Support Fund,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $9,000",FISCAL YEAR: 2021,PROGRAM AREA: Higher Education,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Academics,SUPPORT STRATEGY: Program support,TRANSACTION TYPE: Cash grants,WICHITA FOUNDATION,"Wichita, KS United States",Wichita State University Foundation,"Wichita, KS United States",Collaborative Journalism Support Fund,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $8,958",FISCAL YEAR: 2021,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,Ge Aerospace Foundation.,"Boston, MA United States","WMHT Educational Telecommunications, Inc.","Troy, NY United States",MATCHING GIFTS,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $8,850",FISCAL YEAR: 2021,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Web-based media; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Not Specified,TRANSACTION TYPE: Cash grants,Fund for Investigative Journalism Inc,"Washington, DC United States",CONNECTICUT NEWS PROJECT INC,"Hartford, CT United States",Investigative journalism,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $8,550",FISCAL YEAR: 2021,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Investigative journalism",POPULATION SERVED: Children and youth; Families,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,Eric Oppenheimer Family Foundation,"Agoura Hills, CA United States",Searchlight New Mexico News,"Santa Fe, NM United States",OPERATING SUPPORT,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $8,550",FISCAL YEAR: 2021,,GRANT DURATION: 1 year,,"SUBJECT:Media access and policy; Media justice; Journalism, news and information; Investigative journalism",POPULATION SERVED: Ethnic and racial groups; Low-income people,SUPPORT STRATEGY: Not Specified,TRANSACTION TYPE: Cash grants,Fidelity Investments Charitable Gift Fund,"Boston, MA United States",The Futuro Media Group,"New York City, NY United States",For grant recipient's exempt purposes,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $8,520",FISCAL YEAR: 2021,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Adults,SUPPORT STRATEGY: Advocacy; Outreach,TRANSACTION TYPE: Cash grants,Vegfund Inc,"Washington, DC United States",Beyond Carnism Inc,"Orlando, FL United States",SUPPORT VEGAN ADVOCACY AND ENCOURAGE VEGAN LIFESTYLES,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $8,507",FISCAL YEAR: 2021,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Advocacy; Outreach,TRANSACTION TYPE: Cash grants,Vegfund Inc,"Washington, DC United States",Vegan Justice,"San Diego, CA United States",SUPPORT VEGAN ADVOCACY AND ENCOURAGE VEGAN LIFESTYLES,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $8,500",FISCAL YEAR: 2021,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Investigative journalism",POPULATION SERVED: Ex-offenders; Offenders,SUPPORT STRATEGY: Not Specified,TRANSACTION TYPE: Cash grants,The Ayco Charitable Foundation,"Cohoes, NY United States",MARSHALL PROJECT INC,"New York City, NY United States",ARTS AND CULTURE,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $8,500",FISCAL YEAR: 2021,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Radio; Web-based media; Media access and policy; Media democracy; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Adults; Children and youth,SUPPORT STRATEGY: Not Specified,TRANSACTION TYPE: Cash grants,Vanguard Charitable,"Malvern, PA United States",Texas Public Radio,"San Antonio, TX United States",FOR RECIPIENT'S EXEM,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $8,500",FISCAL YEAR: 2021,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Web-based media; Print; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Not Specified,TRANSACTION TYPE: Cash grants,Vanguard Charitable,"Malvern, PA United States",Vermont Journalism Trust,"Montpelier, VT United States",FOR RECIPIENT'S EXEM,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $8,433",FISCAL YEAR: 2021,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Film/video; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Students; Ethnic and racial groups; Muslims,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,American Online Giving Foundation Inc,"Newark, DE United States",Islamic Scholarship Fund (ISF),"Berkeley, CA United States",GENERAL SUPPORT,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $8,422",FISCAL YEAR: 2021,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Adults; Ethnic and racial groups,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,American Online Giving Foundation Inc,"Newark, DE United States","Community Communications, Inc.","Orlando, FL United States",GENERAL SUPPORT,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $8,418",FISCAL YEAR: 2021,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Film/video; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Economically disadvantaged people; Immigrants and migrants; Artists and performers; Farmers; Retired people; Unemployed people; Academics; Children and youth; Adults,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,"Network for Good, Inc.","Washington, DC United States",Boyd's Station Inc,"Cynthiana, KY United States",UNRESTRICTED,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $8,410",FISCAL YEAR: 2021,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Not Specified,TRANSACTION TYPE: Cash grants,Minnesota Historical Society,"St Paul, MN United States",East Polk Heritage Center,"Fosston, MN United States",Legacy grants for collections data transfer to CollectiveAccess,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $8,405",FISCAL YEAR: 2021,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Web-based media; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Adults,SUPPORT STRATEGY: Not Specified,TRANSACTION TYPE: Cash grants,Fidelity Investments Charitable Gift Fund,"Boston, MA United States",The Center for Michigan,"Ypsilanti, MI United States",For grant recipient's exempt purposes,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $8,362",FISCAL YEAR: 2021,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Radio; Web-based media; Media access and policy; Media democracy; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Adults; Children and youth,SUPPORT STRATEGY: Program support; General support,TRANSACTION TYPE: Cash grants,Give Back Foundation,"Madison, WI United States",Texas Public Radio,"San Antonio, TX United States",PROGRAM SUPPORT,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $8,350",FISCAL YEAR: 2021,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Film/video; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Students; Ethnic and racial groups; Muslims,SUPPORT STRATEGY: Not Specified,TRANSACTION TYPE: Cash grants,Fidelity Investments Charitable Gift Fund,"Boston, MA United States",Islamic Scholarship Fund (ISF),"Berkeley, CA United States",For grant recipient's exempt purposes,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $8,335",FISCAL YEAR: 2021,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Print; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Ethnic and racial groups; People with disabilities; Substance abusers; Economically disadvantaged people; Immigrants and migrants,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,American Online Giving Foundation Inc,"Newark, DE United States",San Francisco Public Press,"San Francisco, CA United States",GENERAL SUPPORT,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $8,298",FISCAL YEAR: 2021,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Investigative journalism",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Systems reform; Ethics and accountability,TRANSACTION TYPE: Cash grants,Organized Crime and Corruption Reporting Project (OCCRP),"Washington, DC United States",Multiple South America Recipients,,SUPPORT TO INVESTIGATIVE JOURNALISM,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $8,290",FISCAL YEAR: 2021,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Advocacy journalism",POPULATION SERVED: Family relationships,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,"Network for Good, Inc.","Washington, DC United States",Hope Grows Together Inc,"Merion Station, PA United States",UNRESTRICTED,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $8,280",FISCAL YEAR: 2021,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Not Specified,TRANSACTION TYPE: Cash grants,Schwab Charitable Fund,"Lone Tree, CO United States",San Francisco Jewish Community Publications Inc,"San Francisco, CA United States",HUMAN SERVICES,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $8,250",FISCAL YEAR: 2021,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Web-based media; Journalism, news and information; Advocacy journalism",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Not Specified,TRANSACTION TYPE: Cash grants,American Endowment Foundation,"Hudson, OH United States","Grist Magazine, Inc.","Seattle, WA United States","ARTS, CULTURE",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $8,250",FISCAL YEAR: 2021,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Print; Media access and policy; Freedom of Expression/First Amendment; Journalism, news and information; Investigative journalism; Citizen journalism",POPULATION SERVED: Adults; Economically disadvantaged people; Incarcerated people; Academics; Activists,SUPPORT STRATEGY: Not Specified,TRANSACTION TYPE: Cash grants,Fidelity Investments Charitable Gift Fund,"Boston, MA United States",MAINE CENTER FOR PUBLIC INTEREST REPORTING,"Augusta, ME United States",For grant recipient's exempt purposes,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $8,200",FISCAL YEAR: 2021,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Radio; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Not Specified,TRANSACTION TYPE: Cash grants,Western Colorado Community Foundation,"Grand Junction, CO United States",Colorado Public Radio,"Centennial, CO United States",CIVIC AND COMMUNITY,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $8,150",FISCAL YEAR: 2021,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Investigative journalism",POPULATION SERVED: Adults,SUPPORT STRATEGY: Not Specified,TRANSACTION TYPE: Cash grants,Fidelity Investments Charitable Gift Fund,"Boston, MA United States",Project Sycamore A NFP Corporation,"Austin, TX United States",For grant recipient's exempt purposes,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $8,091",FISCAL YEAR: 2021,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Advocacy journalism",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,American Online Giving Foundation Inc,"Newark, DE United States",American Journalism Project Inc,"Washington, DC United States",GENERAL SUPPORT,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $8,011",FISCAL YEAR: 2021,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Investigative journalism",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,Bright Funds Foundation,"San Jose, CA United States","PRO Publica, Inc.","New York City, NY United States",GENERAL PURPOSE,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $8,000",FISCAL YEAR: 2021,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Children and youth,SUPPORT STRATEGY: Not Specified,TRANSACTION TYPE: Cash grants,ALASKA HUMANITIES FORUM,"Anchorage, AK United States",See Stories,"Anchorage, AK United States",COVID RELIEF,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
