amount,year,area,duration,title,subject,population,strategy,transaction,funder,funder_addr,recipient,recipient_addr,description,source
"TOTAL AMOUNT:  $6,500",FISCAL YEAR: 2020,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Television; Radio; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Adults; Children and youth; Families,SUPPORT STRATEGY: Not Specified,TRANSACTION TYPE: Cash grants,NATIONAL CHRISTIAN CHARITABLE FOUNDATION INC,"Alpharetta, GA United States",NORTH TEXAS PUBLIC BROADCASTING INC,"Dallas, TX United States",CULTURE,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $6,500",FISCAL YEAR: 2020,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Investigative journalism",POPULATION SERVED: Adults; Students; Ethnic and racial groups; Military personnel; Veterans,SUPPORT STRATEGY: Not Specified,TRANSACTION TYPE: Cash grants,Rancho Santa Fe Foundation,"Encinitas, CA United States",inewsource,"San Diego, CA United States",MEDIA/COMMUNICATIONS,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $6,500",FISCAL YEAR: 2020,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Television; Radio; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Adults; Children and youth; Families,SUPPORT STRATEGY: Not Specified,TRANSACTION TYPE: Cash grants,Tiaa Charitable Inc,"Charlotte, NC United States",NORTH TEXAS PUBLIC BROADCASTING INC,"Dallas, TX United States",Annual Suuport,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $6,488",FISCAL YEAR: 2020,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Web-based media; Journalism, news and information; Advocacy journalism",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,American Online Giving Foundation Inc,"Newark, DE United States","Grist Magazine, Inc.","Seattle, WA United States",General support,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $6,410",FISCAL YEAR: 2020,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Investigative journalism; Journalism education",POPULATION SERVED: Academics,SUPPORT STRATEGY: Public engagement and education; Program support; Equal access,TRANSACTION TYPE: Cash grants,Online News Association,"Washington, DC United States",Syracuse University,"Syracuse, NY United States",JOURNALISM 360 PROJECT GRANT,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $6,400",FISCAL YEAR: 2020,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Adults; Economically disadvantaged people; Incarcerated people,SUPPORT STRATEGY: Not Specified,TRANSACTION TYPE: Cash grants,Fidelity Investments Charitable Gift Fund,"Boston, MA United States",The Massachusetts Institute for A New Commonwealth Inc. (MassINC),"Boston, MA United States",For grant recipient's exempt purposes,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $6,400",FISCAL YEAR: 2020,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Advocacy journalism",POPULATION SERVED: Not Specified,"SUPPORT STRATEGY: Policy, advocacy and systems reform",TRANSACTION TYPE: Cash grants,NATIONAL CHRISTIAN CHARITABLE FOUNDATION INC,"Alpharetta, GA United States",National Review Institute,"New York City, NY United States",CULTURE,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $6,350",FISCAL YEAR: 2020,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Journalism education",POPULATION SERVED: Academics,SUPPORT STRATEGY: Not Specified,TRANSACTION TYPE: Cash grants,Schwab Charitable Fund,"Lone Tree, CO United States",The Poynter Institute for Media Studies Inc,"St Petersburg, FL United States",Education,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $6,300",FISCAL YEAR: 2020,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Not Specified,TRANSACTION TYPE: Cash grants,Schwab Charitable Fund,"Lone Tree, CO United States",James W Foley Legacy Foundation Inc,"Portsmouth, NH United States",Human services,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $6,250",FISCAL YEAR: 2020,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Constituency journalism",POPULATION SERVED: Children and youth,SUPPORT STRATEGY: Not Specified,TRANSACTION TYPE: Cash grants,ALASKA HUMANITIES FORUM,"Anchorage, AK United States",Spirit of Youth,"Anchorage, AK United States",Covid-19 relief,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $6,250",FISCAL YEAR: 2020,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Children and youth,SUPPORT STRATEGY: Not Specified,TRANSACTION TYPE: Cash grants,ALASKA HUMANITIES FORUM,"Anchorage, AK United States",See Stories,"Anchorage, AK United States",Covid relief,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $6,250",FISCAL YEAR: 2020,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Television; Radio; Web-based media; Print; Mobile media; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Ethnic and racial groups; Families; Caregivers; Farmers; Military personnel; Retired people; Veterans; Parents; Non-adult children,SUPPORT STRATEGY: Not Specified,TRANSACTION TYPE: Cash grants,Goulder Family Foundation,"Pennington, NJ United States",South Dakota News Watch,"Sioux Falls, SD United States",UNRESTRICTED GENERAL,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $6,250",FISCAL YEAR: 2020,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Adults,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,The Richard Vague Foundation,"Philadelphia, PA United States",PHILADELPHIA CITIZEN,"Philadelphia, PA United States",To fund the recipient's operating budget,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $6,200",FISCAL YEAR: 2020,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Public engagement and education,TRANSACTION TYPE: Cash grants,Frieda & George Zinberg Foundation,"New York City, NY United States",COMMITTEE FOR ACCURACY IN MIDDLE EAST REPORTING IN AMERICA INC,"Boston, MA United States",Public charity,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $6,200",FISCAL YEAR: 2020,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Public engagement and education,TRANSACTION TYPE: Cash grants,Schwab Charitable Fund,"Lone Tree, CO United States",PULITZER CENTER ON CRISIS REPORTING,"Washington, DC United States","Public, societal benefit",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $6,189",FISCAL YEAR: 2020,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Television; Radio; Web-based media; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Ethnic and racial groups; Families; Non-adult children; Parents; Economically disadvantaged people,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,American Online Giving Foundation Inc,"Newark, DE United States",Ideastream,"Cleveland, OH United States",General support,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $6,173",FISCAL YEAR: 2020,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Radio; Web-based media; Media access and policy; Media democracy; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Adults; Children and youth,SUPPORT STRATEGY: Program support; General support,TRANSACTION TYPE: Cash grants,Give Back Foundation,"Madison, WI United States",Texas Public Radio,"San Antonio, TX United States",PROGRAM SUPPORT,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $6,146",FISCAL YEAR: 2020,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Constituency journalism",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,American Online Giving Foundation Inc,"Newark, DE United States",YOUTH FOR CHRIST INTERNATIONAL,"Englewood, CO United States",General support,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $6,099",FISCAL YEAR: 2020,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Online media; Information technology; Publications,TRANSACTION TYPE: Cash grants,Capital District Library Council for Reference & Research Resources,"Latham, NY United States",Pember Library and Museum,"Granville, NY United States",Digitize microfilms of the local newspaper the granville sentinel for inclusion on the nys historic newspapers database website.,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $6,070",FISCAL YEAR: 2020,,GRANT DURATION: 1 year,,"SUBJECT:Media applications and tools; Geographic Information Systems; Journalism, news and information; Advocacy journalism",POPULATION SERVED: Activists; Adults,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,"Network for Good, Inc.","Washington, DC United States",FRACTRACKER ALLIANCE,"Camp Hill, PA United States",Unrestricted,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $6,025",FISCAL YEAR: 2020,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,Horizon Community Funds of Northern Kentucky,"Covington, KY United States",Kentucky Center for Public Service Journalism,"Edgewood, KY United States",General Support,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $6,000",FISCAL YEAR: 2020,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Constituency journalism; Advocacy journalism",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Public engagement and education,TRANSACTION TYPE: Cash grants,Adirondack Foundation,"Lake Placid, NY United States",Saranac Lake Rotary Foundation Inc,"Ray Brook, NY United States",For covid 19 daily news reporting,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $6,000",FISCAL YEAR: 2020,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Film/video; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Economically disadvantaged people; Immigrants and migrants; Artists and performers; Farmers; Retired people; Unemployed people; Academics; Children and youth; Adults,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,American Online Giving Foundation Inc,"Newark, DE United States",Boyd's Station Inc,"Cynthiana, KY United States",General support,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $6,000",FISCAL YEAR: 2020,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Program support,TRANSACTION TYPE: Cash grants,American Press Institute Inc,"Arlington, VA United States",Bangor Daily News,"Bangor, ME United States",TRUSTED NEWS ELECTIONS MICROGRANTS,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $6,000",FISCAL YEAR: 2020,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Women; People of African descent,SUPPORT STRATEGY: Program support,TRANSACTION TYPE: Cash grants,American Press Institute Inc,"Arlington, VA United States",Scalawag,"Durham, NC United States",TRUSTED NEWS ELECTIONS MICROGRANTS,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $6,000",FISCAL YEAR: 2020,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,Aspen Community Foundation,"Basalt, CO United States",Aspen Journalism,"Aspen, CO United States",GENERAL SUPPORT,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $6,000",FISCAL YEAR: 2020,,GRANT DURATION: 1 year,,"SUBJECT:Media access and policy; Freedom of Expression/First Amendment; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,Brokaw Family Foundation C/o Andersen Tax LLC,"New York City, NY United States","Committee to Protect Journalists, Inc.","New York City, NY United States",GENERAL SUPPORT,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $6,000",FISCAL YEAR: 2020,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Investigative journalism",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Advocacy; Ethics and accountability; Systems reform,TRANSACTION TYPE: Cash grants,California Community Foundation,"Los Angeles, CA United States","PRO Publica, Inc.","New York City, NY United States",Education,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $6,000",FISCAL YEAR: 2020,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Low-income people,SUPPORT STRATEGY: Not Specified,TRANSACTION TYPE: Cash grants,Charles H Revson Foundation Inc,"New York City, NY United States",City Limits News Inc,"New York City, NY United States",Use of the News Revenue Hub's technology package in 2020,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $6,000",FISCAL YEAR: 2020,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Adults; Children and youth; Ethnic and racial groups; Artists and performers; Emergency responders,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,COMMUNITY FOUNDATION OF GREATER GREENSBORO INC,"Greensboro, NC United States",KPCW Radio,"Park City, UT United States",GENERAL SUPPORT,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $6,000",FISCAL YEAR: 2020,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Media Content and Platforms, General; Media access and policy; Media access and policy, general; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Not Specified,TRANSACTION TYPE: Cash grants,Community Foundation of Middle Tennessee,"Nashville, TN United States",Nashville Public Media Inc,"Nashville, TN United States",HUMAN SERVICES,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $6,000",FISCAL YEAR: 2020,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Media Content and Platforms, General; Media access and policy; Media access and policy, general; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Not Specified,TRANSACTION TYPE: Cash grants,Community Foundation of Middle Tennessee,"Nashville, TN United States",Nashville Public Media Inc,"Nashville, TN United States",HUMAN SERVICES,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $6,000",FISCAL YEAR: 2020,PROGRAM AREA: OTHR:Other,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,Community Foundation Sonoma County,"Santa Rosa, CA United States",Mendocino County Public Broadcasting,"Philo, CA United States",For general operating support,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $6,000",FISCAL YEAR: 2020,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Ethnic and racial groups; Immigrants and migrants; Incarcerated people; Economically disadvantaged people; Young adults; Older adults; Seniors; Domestic workers; Activists; Unemployed people,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,Crossroads Fund,"Chicago, IL United States",Borderless Magazine NFP,"Chicago, IL United States",General operations,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $6,000",FISCAL YEAR: 2020,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Constituency journalism",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,Crossroads Fund,"Chicago, IL United States",Cicero Independiente NFP,"Cicero, IL United States",General operations,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $6,000",FISCAL YEAR: 2020,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Academics,SUPPORT STRATEGY: Program support,TRANSACTION TYPE: Cash grants,Foundation for a Healthy Kentucky Inc,"Louisville, KY United States",University of Louisville,"Louisville, KY United States",KENTUCKY STATE DATA CENTER,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $6,000",FISCAL YEAR: 2020,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,Frankel Family Charitable Trust C/o Steven Frankel,"Blue Ash, OH United States",COMMITTEE FOR ACCURACY IN MIDDLE EAST REPORTING IN AMERICA INC,"Boston, MA United States",GENERAL,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $6,000",FISCAL YEAR: 2020,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Investigative journalism",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Outreach; Program support,TRANSACTION TYPE: Cash grants,"International Center for Journalists, Inc.","Washington, DC United States",Multiple North America Recipients,,MEXICO BORDER REPORTING,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $6,000",FISCAL YEAR: 2020,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Program support; Public engagement and education,TRANSACTION TYPE: Cash grants,International Paper Company Foundation,"Memphis, TN United States",PTA Kentucky Congress,"Henderson, KY United States",JEFFERSON ELEMENTARY MEDIA,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $6,000",FISCAL YEAR: 2020,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Investigative journalism",POPULATION SERVED: Adults,SUPPORT STRATEGY: Program support,TRANSACTION TYPE: Cash grants,Jewish Community Federation of San Francisco the Peninsula Marin & Sonoma,"San Francisco, CA United States",The Center for Investigative Reporting,"Emeryville, CA United States",Public/society benefit,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $6,000",FISCAL YEAR: 2020,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Investigative journalism",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,Jewish Federation of Omaha Foundation,"Omaha, NE United States","PRO Publica, Inc.","New York City, NY United States",General support,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $6,000",FISCAL YEAR: 2020,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Film/video; Journalism, news and information; Advocacy journalism",POPULATION SERVED: Adults,SUPPORT STRATEGY: Not Specified,TRANSACTION TYPE: Cash grants,Kirkeby Foundation,"Los Angeles, CA United States",International Documentary Association,"Los Angeles, CA United States",CHARITABLE,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $6,000",FISCAL YEAR: 2020,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Investigative journalism",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Systems reform; Ethics and accountability,TRANSACTION TYPE: Cash grants,Organized Crime and Corruption Reporting Project (OCCRP),"Washington, DC United States",Multiple Europe Recipients,,SUPPORT TO INVESTIGATIVE JOURNALISM,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $6,000",FISCAL YEAR: 2020,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Investigative journalism",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Conferences and exhibitions; Public engagement and education; Program support,TRANSACTION TYPE: Cash grants,Seattle Foundation,"Seattle, WA United States",GatoEncerrado,"San Salvador, El Salvador","To support the project Gatolab, a “laboratory” of workshops and courses to educate and train journalists from rural areas in investigative journalism, to strengthen journalism in the region, free expression, and democracy.",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $6,000",FISCAL YEAR: 2020,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Equal access; Program support,TRANSACTION TYPE: Cash grants,Seattle Foundation,"Seattle, WA United States",South Seattle Emerald,"Seattle, WA United States",To support a young journalist,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $6,000",FISCAL YEAR: 2020,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Web-based media; Journalism, news and information; Citizen journalism",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,Still Ain't Satisfied - a Foundation with Attitude (sas),"Minneapolis, MN United States",Uptake Institute,"St Paul, MN United States",General operatinggeneral operating,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $6,000",FISCAL YEAR: 2020,PROGRAM AREA: Beyond Current Program Structure,GRANT DURATION: 3 months,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Women and girls; Men and boys,SUPPORT STRATEGY: Program support,TRANSACTION TYPE: Cash grants,The Ford Foundation,"New York City, NY United States",Poverty Eradication Network,"Nairobi, Kenya",Collaboration between media and civil society working in peace building and conflict resolution ahead of the 2022 general elections in Kenya,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $6,000",FISCAL YEAR: 2020,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Web-based media; Journalism, news and information; Advocacy journalism",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,The Highfield Foundation Fifth Third Bank,"Cincinnati, OH United States",Planetwork Ngo Inc,"San Francisco, CA United States",General operating support,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $6,000",FISCAL YEAR: 2020,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms, General",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Public engagement and education; Program support,TRANSACTION TYPE: Cash grants,The Pittsburgh Foundation,"Pittsburgh, PA United States",Greater Harvest Church of God in Christ,"Dallas, TX United States",For the media project.,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $6,000",FISCAL YEAR: 2020,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Television; Radio; Media access and policy; Media democracy; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Not Specified,TRANSACTION TYPE: Cash grants,The Susan Sarandon Charitable Foundation,"Lancaster, PA United States",Democracy Now Productions Inc,"New York City, NY United States",Charitable,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $6,000",FISCAL YEAR: 2020,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Investigative journalism",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,The Warnock Family Foundation Inc,"Baltimore, MD United States","PRO Publica, Inc.","New York City, NY United States",UNRESTRICTED,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $6,000",FISCAL YEAR: 2020,,GRANT DURATION: 1 year,,"SUBJECT:Media access and policy; Freedom of Expression/First Amendment; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: General support,TRANSACTION TYPE: Cash grants,The Woods and Gil Family Foundation,"Chicago, IL United States","Committee to Protect Journalists, Inc.","New York City, NY United States",GENERAL OPERATING SUPPORT FOR THE ORGANIZATION,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $6,000",FISCAL YEAR: 2020,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Advocacy; Outreach,TRANSACTION TYPE: Cash grants,Vegfund Inc,"Washington, DC United States",Food Frontier Institute Ltd,"Hudson, American Samoa",SUPPORT VEGAN ADVOCACY AND ENCOURAGE VEGAN LIFESTYLES,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $5,960",FISCAL YEAR: 2020,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Radio; Web-based media; Media access and policy; Media democracy; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Adults; Children and youth,SUPPORT STRATEGY: Not Specified,TRANSACTION TYPE: Cash grants,Hixon Family Foundation,"San Antonio, TX United States",Texas Public Radio,"San Antonio, TX United States",CHARITABLE,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $5,900",FISCAL YEAR: 2020,,GRANT DURATION: 1 year,,"SUBJECT:Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Adults; Jewish people; Interfaith groups,SUPPORT STRATEGY: Advocacy; Outreach,TRANSACTION TYPE: Cash grants,Vegfund Inc,"Washington, DC United States",Jewish Veg,"Philadelphia, PA United States",SUPPORT VEGAN ADVOCACY AND ENCOURAGE VEGAN LIFESTYLES,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $5,900",FISCAL YEAR: 2020,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Radio; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Not Specified,SUPPORT STRATEGY: Not Specified,TRANSACTION TYPE: Cash grants,Western Colorado Community Foundation,"Grand Junction, CO United States",Colorado Public Radio,"Centennial, CO United States",EDUCATIONAL SUPPORT,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
"TOTAL AMOUNT:  $5,890",FISCAL YEAR: 2020,,GRANT DURATION: 1 year,,"SUBJECT:Media Content and Platforms; Radio; Journalism, news and information; Journalism, news, and information, general",POPULATION SERVED: Ethnic and racial groups; Sexual identity; Victims and oppressed people; Immigrants and migrants; Economically disadvantaged people,SUPPORT STRATEGY: Not Specified,TRANSACTION TYPE: Cash grants,Fidelity Investments Charitable Gift Fund,"Boston, MA United States",BOULDER COMMUNITY BROADCAST ASSOCIATION INCORPORATED,"Boulder, CO United States",For grant recipient's exempt purposes,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
