Foundation Name,EIN,Source,URL,State,Place-based,Geographic area(s) served,Subject area(s),Population(s) served,Year,Total revenue,Total expenses,Net income,Revenue source 1,Percent of total revenue 1,Revenue source 2,Percent of revenue 2,Revenue source 3,Percent of revenue 3,Other revenue sources,Percent of revenue other,Expense category 1,Proportion of total expenses 1,Expense category 2,Proportion of total expenses 2,Total assets,Total liabilities,Net assets,State_abbr,efile,ein,tax_pd,subseccd,s501c3or4947a1cd,schdbind,politicalactvtscd,lbbyingactvtscd,subjto6033cd,dnradvisedfundscd,prptyintrcvdcd,maintwrkofartcd,crcounselingqstncd,hldassetsintermpermcd,rptlndbldgeqptcd,rptinvstothsecd,rptinvstprgrelcd,rptothasstcd,rptothliabcd,sepcnsldtfinstmtcd,sepindaudfinstmtcd,inclinfinstmtcd,operateschools170cd,frgnofficecd,frgnrevexpnscd,frgngrntscd,frgnaggragrntscd,rptprofndrsngfeescd,rptincfnndrsngcd,rptincgamingcd,operatehosptlcd,hospaudfinstmtcd,rptgrntstogovtcd,rptgrntstoindvcd,rptyestocompnstncd,txexmptbndcd,invstproceedscd,maintescrwaccntcd,actonbehalfcd,engageexcessbnftcd,awarexcessbnftcd,loantofficercd,grantoofficercd,dirbusnreltdcd,fmlybusnreltdcd,servasofficercd,recvnoncashcd,recvartcd,ceaseoperationscd,sellorexchcd,ownsepentcd,reltdorgcd,intincntrlcd,orgtrnsfrcd,conduct5percentcd,compltschocd,f1096cnt,fw2gcnt,wthldngrulescd,noemplyeesw3cnt,filerqrdrtnscd,unrelbusinccd,filedf990tcd,frgnacctcd,prohibtdtxshltrcd,prtynotifyorgcd,filedf8886tcd,solicitcntrbcd,exprstmntcd,providegoodscd,notfydnrvalcd,filedf8282cd,f8282cnt,fndsrcvdcd,premiumspaidcd,filedf8899cd,filedf1098ccd,excbushldngscd,s4966distribcd,distribtodonorcd,initiationfees,grsrcptspublicuse,grsincmembers,grsincother,filedlieuf1041cd,txexmptint,qualhlthplncd,qualhlthreqmntn,qualhlthonhnd,rcvdpdtngcd,filedf720cd,totreprtabled,totcomprelatede,totestcompf,noindiv100kcnt,nocontractor100kcnt,totcntrbgfts,prgmservcode2acd,totrev2acola,prgmservcode2bcd,totrev2bcola,prgmservcode2ccd,totrev2ccola,prgmservcode2dcd,totrev2dcola,prgmservcode2ecd,totrev2ecola,totrev2fcola,totprgmrevnue,invstmntinc,txexmptbndsproceeds,royaltsinc,grsrntsreal,grsrntsprsnl,rntlexpnsreal,rntlexpnsprsnl,rntlincreal,rntlincprsnl,netrntlinc,grsalesecur,grsalesothr,cstbasisecur,cstbasisothr,gnlsecur,gnlsothr,netgnls,grsincfndrsng,lessdirfndrsng,netincfndrsng,grsincgaming,lessdirgaming,netincgaming,grsalesinvent,lesscstofgoods,netincsales,miscrev11acd,miscrevtota,miscrev11bcd,miscrevtot11b,miscrev11ccd,miscrevtot11c,miscrevtot11d,miscrevtot11e,totrevenue,grntstogovt,grnsttoindiv,grntstofrgngovt,benifitsmembrs,compnsatncurrofcr,compnsatnandothr,othrsalwages,pensionplancontrb,othremplyeebenef,payrolltx,feesforsrvcmgmt,legalfees,accntingfees,feesforsrvclobby,profndraising,feesforsrvcinvstmgmt,feesforsrvcothr,advrtpromo,officexpns,infotech,royaltsexpns,occupancy,travel,travelofpublicoffcl,converconventmtng,interestamt,pymtoaffiliates,deprcatndepletn,insurance,othrexpnsa,othrexpnsb,othrexpnsc,othrexpnsd,othrexpnse,othrexpnsf,totfuncexpns,nonintcashend,svngstempinvend,pldgegrntrcvblend,accntsrcvblend,currfrmrcvblend,rcvbldisqualend,notesloansrcvblend,invntriesalesend,prepaidexpnsend,lndbldgsequipend,invstmntsend,invstmntsothrend,invstmntsprgmend,intangibleassetsend,othrassetsend,totassetsend,accntspayableend,grntspayableend,deferedrevnuend,txexmptbndsend,escrwaccntliabend,paybletoffcrsend,secrdmrtgsend,unsecurednotesend,othrliabend,totliabend,unrstrctnetasstsend,temprstrctnetasstsend,permrstrctnetasstsend,capitalstktrstend,paidinsurplusend,retainedearnend,totnetassetend,totnetliabastend,nonpfrea,totnooforgscnt,totsupport,gftgrntsrcvd170,txrevnuelevied170,srvcsval170,pubsuppsubtot170,exceeds2pct170,pubsupplesspct170,samepubsuppsubtot170,grsinc170,netincunreltd170,othrinc170,totsupp170,grsrcptsrelated170,totgftgrntrcvd509,grsrcptsadmissn509,grsrcptsactivities509,txrevnuelevied509,srvcsval509,pubsuppsubtot509,rcvdfrmdisqualsub509,exceeds1pct509,subtotpub509,pubsupplesub509,samepubsuppsubtot509,grsinc509,unreltxincls511tx509,subtotsuppinc509,netincunrelatd509,othrinc509,totsupp509
James B. McClatchy Foundation,680283878,Press Forward,https://jbmcclatchyfoundation.org,"Central Valley, CA",,,,,2023.0,"-1,544,822","7,331,174","-8,875,996",,,,,,,,,Other Salaries and Wages,0.095,Executive Compensations,0.034,"38,994,873","340,924","38,653,949",CA,E,680283878.0,202206.0,3.0,Y,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,Y,N,N,N,Y,16.0,0.0,Y,9.0,Y,N,N,N,N,N,N,N,N,N,N,N,0.0,N,N,N,N,N,N,N,0.0,0.0,0.0,0.0,N,0.0, ,0.0,0.0,N,N,439862.0,0.0,25426.0,3.0,0.0,0.0,      ,0.0,      ,0.0,      ,0.0,      ,0.0,      ,0.0,0.0,0.0,1028905.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25284996.0,0.0,12661393.0,0.0,12623603.0,0.0,12623603.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,      ,0.0,      ,0.0,      ,0.0,0.0,0.0,13652508.0,7633862.0,0.0,0.0,0.0,230660.0,0.0,586788.0,39307.0,0.0,55040.0,0.0,6275.0,24907.0,0.0,0.0,0.0,57860.0,7964.0,0.0,19370.0,0.0,65567.0,0.0,0.0,16079.0,0.0,0.0,10412.0,10491.0,22945.0,9309.0,8263.0,8120.0,0.0,6610.0,8819829.0,0.0,3272762.0,0.0,0.0,0.0,0.0,0.0,0.0,16811.0,41266.0,34193740.0,6270905.0,0.0,0.0,0.0,43795484.0,79517.0,654932.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,734449.0,40067020.0,2994015.0,0.0,0.0,0.0,0.0,43061035.0,43795484.0,12,2.0,150000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
John D. and Catherine T. MacArthur Foundation and The Chicago Community Trust,461460499,Press Forward,,Chicago,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gates Family Foundation and the Colorado Health Foundation,840474837,Press Forward,https://gatesfamilyfoundation.org,Colorado,,,,,,,,,,,,,,,,,,,,,,,,CO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inland Empire Community Foundation,330748536,Press Forward,https://www.iegives.org,"Inland Empire, CA",,,,,2023.0,"41,121,733","34,281,398","6,840,335",Contributions,0.821,Sales of Assets,0.129,Investment Income,0.05,,,Other Salaries and Wages,0.037,Executive Compensation,0.023,"136,860,693","24,139,502","112,721,191",CA,E,330748536.0,202212.0,3.0,Y,Y,N,Y,N,Y,N,N,N,N,Y,N,N,N,Y,Y,Y,N,N,N,N,N,N,N,Y,N,N,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,41.0,0.0,Y,22.0,Y,N,N,N,N,N,N,N,N,Y,Y,N,0.0,N,N,N,N,N,N,N,0.0,0.0,0.0,0.0,N,0.0, ,0.0,0.0,N,N,1066598.0,0.0,117129.0,7.0,1.0,35489541.0,      ,0.0,      ,0.0,      ,0.0,      ,0.0,      ,0.0,0.0,0.0,1699374.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2655894.0,0.0,851910.0,0.0,1803984.0,0.0,1803984.0,44316.0,57024.0,-12708.0,0.0,0.0,0.0,0.0,0.0,0.0,      ,0.0,      ,0.0,      ,0.0,0.0,0.0,38980191.0,23233880.0,1481880.0,0.0,0.0,750619.0,0.0,1105249.0,46557.0,107229.0,132024.0,0.0,28475.0,31000.0,0.0,0.0,91034.0,463127.0,158718.0,53548.0,94715.0,0.0,135240.0,33302.0,0.0,37181.0,0.0,0.0,27190.0,15404.0,63330.0,24252.0,17879.0,7548.0,0.0,3586.0,28142967.0,179373.0,42901099.0,3091724.0,0.0,0.0,0.0,0.0,0.0,46814.0,18909.0,74690937.0,182130.0,0.0,0.0,3874406.0,124985392.0,419622.0,115110.0,4750000.0,0.0,63514.0,0.0,0.0,0.0,18030913.0,23379159.0,12458848.0,89147385.0,0.0,0.0,0.0,0.0,101606233.0,124985392.0,7,0.0,0.0,113037413.0,0.0,0.0,113037413.0,47051168.0,65986245.0,113037413.0,10623663.0,0.0,38223.0,123699299.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blue Grass Community Foundation,616053466,Press Forward,https://www.bgcf.org,"Lexington, KY",,,,,2023.0,"57,159,622","27,853,076","29,306,546",Contributions,0.815,Investment Income,0.127,Program Services,0.044,Sales of Assets,0.015,Other Salaries and Wages,0.028,Executive Compensation,0.016,"223,373,063","22,554,148","200,818,915",KY,E,616053466.0,202206.0,3.0,Y,Y,N,N,N,Y,N,N,Y,N,Y,N,N,N,N,Y,Y,Y,N,N,Y,Y,N,N,N,N,N,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,Y,N,N,N,N,Y,63.0,0.0,Y,13.0,Y,Y,Y,N,N,N,N,N,N,Y,Y,N,0.0,N,N,N,N,N,N,N,0.0,0.0,0.0,0.0,N,0.0, ,0.0,0.0,N,N,342338.0,0.0,41501.0,2.0,1.0,43476808.0,624110,2019463.0,      ,0.0,      ,0.0,      ,0.0,      ,0.0,0.0,2019463.0,5886454.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36394365.0,0.0,30472294.0,0.0,5922071.0,0.0,5922071.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,      ,0.0,      ,0.0,      ,0.0,0.0,0.0,57304796.0,16029945.0,456541.0,0.0,0.0,416170.0,0.0,682119.0,65299.0,61763.0,79612.0,0.0,13626.0,13626.0,0.0,0.0,726951.0,71696.0,82697.0,70419.0,139008.0,0.0,25452.0,0.0,0.0,10920.0,17514.0,0.0,25998.0,21054.0,1947702.0,95987.0,67404.0,66019.0,0.0,98745.0,21286267.0,0.0,12893978.0,307417.0,0.0,0.0,0.0,0.0,0.0,0.0,644133.0,165199579.0,0.0,0.0,0.0,8121824.0,187166931.0,5289.0,787104.0,0.0,0.0,17458320.0,0.0,465338.0,0.0,0.0,18716051.0,1068465.0,167382415.0,0.0,0.0,0.0,0.0,168450880.0,187166931.0,7,0.0,0.0,124274968.0,0.0,0.0,124274968.0,18113777.0,106161191.0,124274968.0,20154297.0,-71920.0,45023.0,144402368.0,7705334.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
McKnight Foundation,410754835,Press Forward,https://www.mcknight.org,Minnesota,,,,,2022.0,"165,036,445","200,900,058","-35,863,613",Sales of Assets,0.797,Other Income,0.06,Interest Revenue,0.002,Contributions Received,0.001,Charitable Disbursements,0.703,Compensation of Officers,0.008,"2,566,350,071","129,576,425","2,436,773,646",MN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CREATE Foundation,237248582,Press Forward,https://createfoundation.com,Mississippi,,,,,2023.0,"22,231,092","14,512,145","7,718,947",Contributions,0.834,Investment Income,0.166,Program Services,0.002,,,Other Salaries and Wages,0.042,Executive Compensation,0.026,"167,121,440",0,"167,121,440",MS,E,237248582.0,202212.0,3.0,Y,Y,N,N,N,Y,N,N,N,N,Y,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,Y,Y,N,N,N,Y,60.0,0.0,N,10.0,Y,N,N,N,N,N,N,N,N,N,N,N,0.0,N,N,N,N,N,N,N,0.0,0.0,0.0,0.0,N,0.0, ,0.0,0.0,N,N,581186.0,0.0,0.0,4.0,0.0,14938033.0,      ,32732.0,      ,0.0,      ,0.0,      ,0.0,      ,0.0,0.0,32732.0,2763513.0,0.0,0.0,43400.0,0.0,73983.0,0.0,-30583.0,0.0,-30583.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,      ,0.0,      ,0.0,      ,0.0,0.0,0.0,17703695.0,12526940.0,516692.0,0.0,0.0,538563.0,0.0,460100.0,66280.0,94501.0,67852.0,0.0,0.0,21970.0,0.0,0.0,0.0,0.0,0.0,98334.0,50268.0,0.0,33804.0,16779.0,0.0,23135.0,0.0,0.0,9963.0,92435.0,35166.0,20008.0,19698.0,17135.0,0.0,33106.0,14742729.0,-5.0,18412838.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1831769.0,113623631.0,10835243.0,0.0,0.0,299055.0,145002531.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11412537.0,133589994.0,0.0,0.0,0.0,0.0,145002531.0,145002531.0,7,0.0,0.0,70832960.0,0.0,0.0,70832960.0,8997486.0,61835474.0,70832960.0,17061806.0,0.0,169803.0,88064569.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
New Jersey Civic Information Consortium and Community Foundation of New Jersey,853522347,Press Forward,https://njcivicinfo.org,New Jersey,,,,,,,,,,,,,,,,,,,,,,,,NJ,E,853522347.0,202212.0,3.0,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,Y,4.0,0.0,N,0.0,N,N,N,N,N,N,N,N,N,N,N,N,0.0,N,N,N,N,N,N,N,0.0,0.0,0.0,0.0,N,0.0, ,0.0,0.0,N,N,50000.0,0.0,0.0,0.0,0.0,6241534.0,      ,0.0,      ,0.0,      ,0.0,      ,0.0,      ,0.0,0.0,0.0,1886.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,      ,0.0,      ,0.0,      ,0.0,0.0,0.0,6243420.0,1949014.0,0.0,0.0,0.0,60000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35830.0,0.0,0.0,0.0,59846.0,0.0,3656.0,0.0,0.0,0.0,0.0,0.0,963.0,0.0,0.0,0.0,1265.0,5854.0,0.0,0.0,0.0,0.0,0.0,2116428.0,383744.0,4258414.0,0.0,0.0,0.0,0.0,0.0,0.0,15063.0,0.0,0.0,0.0,0.0,0.0,0.0,4657221.0,186668.0,0.0,105030.0,0.0,0.0,0.0,0.0,0.0,0.0,291698.0,4365523.0,0.0,0.0,0.0,0.0,0.0,4365523.0,4657221.0,7,0.0,0.0,6994969.0,0.0,0.0,6994969.0,70126.0,6924843.0,6994969.0,1886.0,0.0,0.0,6996855.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thornburg Foundation and the New Mexico Local News Fund,850457010,Press Forward,,New Mexico,,,,,,,,,,,,,,,,,,,,,,,,NM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"North Carolina Local News Lab Fund, Kate B. Reynolds Charitable Trust and Z. Smith Reynolds Foundation",,Press Forward,,North Carolina,,,,,,,,,,,,,,,,,,,,,,,,NC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community Foundation of Greater Dubuque,421526614,Press Forward,https://dbqfoundation.org,Northeast Iowa,,,,,2022.0,"18,173,016","10,565,504","7,607,512",Contributions,0.883,Investment Income,0.197,Program Services,0.001,,,Executive Compensation,0.024,,,"132,472,525","1,108,014","131,364,511",IA,E,421526614.0,202212.0,3.0,Y,Y,N,N,N,Y,N,N,N,N,Y,N,N,N,Y,Y,Y,N,N,N,N,N,N,N,Y,N,N,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,Y,Y,Y,N,N,Y,49.0,0.0,Y,29.0,Y,N,N,N,N,N,N,N,N,Y,Y,N,0.0,N,N,N,N,N,N,N,0.0,0.0,0.0,0.0,N,0.0, ,0.0,0.0,N,N,495399.0,0.0,36003.0,3.0,0.0,16040227.0,900099,13035.0,      ,0.0,      ,0.0,      ,0.0,      ,0.0,0.0,13035.0,3582363.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19703977.0,200000.0,21165098.0,200675.0,-1461121.0,-675.0,-1461796.0,6550.0,7363.0,-813.0,0.0,0.0,0.0,0.0,0.0,0.0,      ,0.0,      ,0.0,      ,0.0,0.0,0.0,18173016.0,5778631.0,427757.0,0.0,0.0,251231.0,1485870.0,0.0,37402.0,86615.0,129826.0,0.0,472.0,28146.0,0.0,0.0,416108.0,346082.0,95743.0,46411.0,130659.0,0.0,123206.0,0.0,0.0,39719.0,12262.0,0.0,110554.0,113405.0,777126.0,60184.0,50050.0,18045.0,0.0,0.0,10565504.0,0.0,10039693.0,175258.0,0.0,0.0,0.0,0.0,0.0,0.0,822397.0,119927706.0,1378853.0,0.0,0.0,128618.0,132472525.0,245991.0,110447.0,0.0,0.0,0.0,0.0,304170.0,0.0,447406.0,1108014.0,131096889.0,267622.0,0.0,0.0,0.0,0.0,131364511.0,132472525.0,7,0.0,0.0,71992051.0,0.0,0.0,71992051.0,12892639.0,59099412.0,71992051.0,12863466.0,0.0,0.0,84855517.0,88316.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Grand Traverse Regional Community Foundation,383056434,Press Forward,https://www.gtrcf.org,Northern Michigan,,,,,2023.0,"4,933,351","5,203,080","-269,729",Investment Income,0.509,Contributions,0.256,Sales of Assets,0.235,,,Other Salaries and Wages,0.133,Executive Compensation,0.03,"96,120,361","93,202","96,027,159",MI,E,383056434.0,202212.0,3.0,Y,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,14.0,0.0,Y,10.0,Y,N,N,N,N,N,N,N,N,N,N,N,0.0,N,N,N,N,N,N,N,0.0,0.0,0.0,0.0,N,0.0, ,0.0,0.0,N,N,151980.0,0.0,11958.0,1.0,0.0,1603495.0,      ,0.0,      ,0.0,      ,0.0,      ,0.0,      ,0.0,0.0,0.0,2348196.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9662551.0,0.0,8562557.0,0.0,1099994.0,0.0,1099994.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,      ,0.0,      ,0.0,      ,0.0,0.0,0.0,5051685.0,3116010.0,324988.0,0.0,0.0,151980.0,0.0,555358.0,55321.0,61585.0,51939.0,167161.0,2295.0,19448.0,0.0,0.0,95470.0,0.0,105809.0,25188.0,69244.0,0.0,75873.0,10376.0,0.0,32228.0,0.0,0.0,0.0,5661.0,21137.0,5336.0,4400.0,0.0,0.0,0.0,4956807.0,211291.0,23739.0,0.0,0.0,0.0,0.0,0.0,0.0,16008.0,0.0,85231199.0,750000.0,0.0,0.0,0.0,86232237.0,30183.0,45494.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75677.0,1306585.0,84849975.0,0.0,0.0,0.0,0.0,86156560.0,86232237.0,8,0.0,0.0,31020774.0,0.0,0.0,31020774.0,15224325.0,15796449.0,31020774.0,10303217.0,0.0,0.0,41323991.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The Lenfest Institute for Journalism,,Press Forward,https://www.lenfestinstitute.org,Philadelphia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Center for Media Innovation at Point Park University; Benter Foundation; The Heinz Endowments; Henry L. Hillman Foundation; and The Pittsburgh Foundation,,Press Forward,,Pittsburgh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Antonio Area Foundation,746065414,Press Forward,https://saafdn.org,San Antonio,,,,,2022.0,"68,911,493","55,540,535","13,370,958",Contributions,0.752,Investment Income,0.202,Program Services,0.025,Royalties,0.009,Other Salaries and Wages,0.051,Executive Compensation,0.024,"525,679,071","15,281,694","510,397,377",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Miami Foundation,650350357,Press Forward,https://miamifoundation.org,South Florida,,,,,2022.0,"113,981,496","81,136,698","32,844,798",Contributions,0.853,Investment Income,0.08,Sales of Assets,0.055,Program Services,0.01,Other Salaries and Wages,0.028,Executive Compensation,0.012,"438,006,992","39,473,428","398,533,564",FL,E,650350357.0,202212.0,3.0,Y,Y,N,N,N,Y,N,N,Y,N,Y,Y,N,N,Y,Y,N,Y,N,N,Y,Y,Y,N,N,N,N,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,Y,445.0,0.0,Y,50.0,Y,N,N,N,N,N,N,N,N,N,N,N,0.0,N,N,N,N,N,N,N,0.0,0.0,0.0,0.0,N,0.0, ,0.0,0.0,N,N,1318381.0,0.0,137264.0,7.0,5.0,97215732.0,900099,1108691.0,      ,0.0,      ,0.0,      ,0.0,      ,0.0,0.0,1108691.0,9073860.0,0.0,216334.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,171511427.0,0.0,165281970.0,0.0,6229457.0,0.0,6229457.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,900099,137422.0,      ,0.0,      ,0.0,0.0,137422.0,113981496.0,71508396.0,715179.0,310504.0,0.0,982002.0,0.0,2255083.0,89964.0,419519.0,220414.0,0.0,94870.0,28704.0,0.0,0.0,1515669.0,1839554.0,0.0,372813.0,0.0,0.0,315402.0,0.0,0.0,44476.0,0.0,0.0,111223.0,64074.0,151438.0,68652.0,27614.0,1148.0,0.0,0.0,81136698.0,1854388.0,10853926.0,597138.0,61771.0,0.0,0.0,0.0,0.0,462458.0,228779.0,363809540.0,45089333.0,0.0,322677.0,14726982.0,438006992.0,1038229.0,0.0,886236.0,0.0,32364931.0,0.0,0.0,0.0,5184032.0,39473428.0,378197961.0,20335603.0,0.0,0.0,0.0,0.0,398533564.0,438006992.0,8,0.0,0.0,393317199.0,0.0,0.0,393317199.0,61898301.0,331418898.0,393317199.0,17429562.0,0.0,312677.0,411059438.0,1984159.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
